id,question,answer,category,text
c01,What are the essential elements of a valid contract?,"A valid contract generally requires offer, acceptance, consideration, legal capacity, and a lawful purpose. Both parties must mutually assent to the terms.",Contracts,"Question: What are the essential elements of a valid contract? Answer: A valid contract generally requires offer, acceptance, consideration, legal capacity, and a lawful purpose. Both parties must mutually assent to the terms."
c02,Is a verbal contract enforceable in court?,"Verbal contracts can be enforceable unless the agreement falls under the Statute of Frauds, which requires certain contracts to be in writing.",Contracts,"Question: Is a verbal contract enforceable in court? Answer: Verbal contracts can be enforceable unless the agreement falls under the Statute of Frauds, which requires certain contracts to be in writing."
c03,What happens when one party breaches a contract?,"The non-breaching party may seek remedies such as damages, specific performance, or rescission depending on the contract and jurisdiction.",Contracts,"Question: What happens when one party breaches a contract? Answer: The non-breaching party may seek remedies such as damages, specific performance, or rescission depending on the contract and jurisdiction."
c04,What is indemnification in a service agreement?,Indemnification is a contractual obligation to compensate another party for losses or damages arising from specified events or claims.,Contracts,Question: What is indemnification in a service agreement? Answer: Indemnification is a contractual obligation to compensate another party for losses or damages arising from specified events or claims.
c05,Should an employment contract include a non-compete clause?,"Non-compete clauses are common but enforceability varies by jurisdiction. They must be reasonable in scope, duration, and geography to be upheld.",Contracts,"Question: Should an employment contract include a non-compete clause? Answer: Non-compete clauses are common but enforceability varies by jurisdiction. They must be reasonable in scope, duration, and geography to be upheld."
c06,What is a limitation of liability clause?,"It caps the amount one party must pay for damages arising from the contract, often excluding liabilities for gross negligence, willful misconduct, or IP infringement.",Contracts,"Question: What is a limitation of liability clause? Answer: It caps the amount one party must pay for damages arising from the contract, often excluding liabilities for gross negligence, willful misconduct, or IP infringement."
n01,What is an NDA and when should it be used?,"A Non-Disclosure Agreement protects confidential information. Use it before sharing trade secrets, business plans, or proprietary data with third parties.",NDAs,"Question: What is an NDA and when should it be used? Answer: A Non-Disclosure Agreement protects confidential information. Use it before sharing trade secrets, business plans, or proprietary data with third parties."
n02,Can an NDA be enforced if the recipient discloses information?,"Yes, if the NDA is well-drafted and reasonable, the disclosing party can seek injunctive relief and monetary damages for unauthorized disclosure.",NDAs,"Question: Can an NDA be enforced if the recipient discloses information? Answer: Yes, if the NDA is well-drafted and reasonable, the disclosing party can seek injunctive relief and monetary damages for unauthorized disclosure."
n03,How long does an NDA typically last?,"NDAs often last for 3 to 5 years, but some obligations, such as those covering trade secrets, can survive indefinitely or until the information becomes public.",NDAs,"Question: How long does an NDA typically last? Answer: NDAs often last for 3 to 5 years, but some obligations, such as those covering trade secrets, can survive indefinitely or until the information becomes public."
n04,What are key terms to include in a data processing agreement?,"Include roles of parties, data categories, processing purposes, security measures, subprocessor governance, breach notification, and audit rights.",NDAs,"Question: What are key terms to include in a data processing agreement? Answer: Include roles of parties, data categories, processing purposes, security measures, subprocessor governance, breach notification, and audit rights."
ip01,What is the difference between a patent and a trade secret?,"A patent protects an invention publicly for a limited time in exchange for disclosure, while a trade secret remains confidential for as long as it provides competitive value.",Intellectual Property,"Question: What is the difference between a patent and a trade secret? Answer: A patent protects an invention publicly for a limited time in exchange for disclosure, while a trade secret remains confidential for as long as it provides competitive value."
ip02,How do I register a copyright for my software?,"Copyright arises automatically upon creation, but you can register it with the U.S. Copyright Office to obtain public record and the ability to sue for statutory damages.",Intellectual Property,"Question: How do I register a copyright for my software? Answer: Copyright arises automatically upon creation, but you can register it with the U.S. Copyright Office to obtain public record and the ability to sue for statutory damages."
ip03,What constitutes trademark infringement?,Trademark infringement occurs when an unauthorized party uses a mark that is likely to confuse consumers about the source of goods or services.,Intellectual Property,Question: What constitutes trademark infringement? Answer: Trademark infringement occurs when an unauthorized party uses a mark that is likely to confuse consumers about the source of goods or services.
ip04,Can I use open-source code in a commercial product?,"It depends on the license. Permissive licenses like MIT and Apache 2.0 usually allow commercial use, while GPL-style licenses may require sharing derivative source code.",Intellectual Property,"Question: Can I use open-source code in a commercial product? Answer: It depends on the license. Permissive licenses like MIT and Apache 2.0 usually allow commercial use, while GPL-style licenses may require sharing derivative source code."
ip05,How can a company protect its branding internationally?,Companies can file trademarks in target jurisdictions or use the Madrid Protocol to seek protection in multiple countries through a single application.,Intellectual Property,Question: How can a company protect its branding internationally? Answer: Companies can file trademarks in target jurisdictions or use the Madrid Protocol to seek protection in multiple countries through a single application.
